abbrName	ncbiID	fullName	strain	norank_491	norank_57678	norank_56615	norank_12663	norank_31632	norank_64187	isolate	varietas	subspecies	species	norank_600669	norank_44542	speciessubgroup	norank_2724161	norank_2724078	norank_2691594	norank_366617	norank_2724758	norank_2664420	norank_2730119	norank_2727852	norank_1433214	norank_2691586	norank_2720068	norank_2640012	speciesgroup	norank_44537	subgenus	genus	subtribe	norank_1304792	norank_1535325	norank_1113537	norank_1142503	tribe	norank_1648033	subfamily	norank_359160	norank_147370	family	norank_337687	norank_1912919	superfamily	norank_74971	norank_104431	norank_43741	norank_37567	norank_43738	parvorder	norank_480117	norank_480118	infraorder	norank_33351	norank_33349	norank_33347	suborder	norank_33343	order	norank_33083	norank_9263	norank_91836	norank_314147	norank_6970	norank_4734	superorder	norank_71275	norank_186626	norank_1437201	norank_1489908	norank_1437010	subcohort	norank_1489872	norank_91827	norank_9347	norank_123369	norank_123368	norank_123367	norank_123366	norank_123365	cohort	norank_186625	norank_1489341	infraclass	norank_32525	norank_71240	norank_4447	subclass	norank_1437183	norank_85512	class	norank_2692248	norank_2290931	norank_2283794	norank_404260	norank_715989	norank_2683659	norank_715962	norank_436492	norank_58024	norank_436491	norank_436489	norank_436486	norank_8492	norank_1329799	norank_32561	norank_8457	norank_32524	norank_78536	norank_58023	norank_716546	norank_3193	norank_32523	norank_1338369	superclass	norank_117571	norank_117570	norank_7776	norank_7742	subphylum	norank_197562	norank_197563	norank_716545	phylum	norank_2696291	norank_554915	norank_33630	norank_1206795	norank_112252	norank_2611352	norank_33634	norank_2697495	norank_2698737	norank_3208	norank_1935183	norank_1783275	norank_2611341	norank_1798711	norank_68336	norank_1783257	norank_33511	norank_88770	norank_1783272	norank_1783270	norank_1206794	norank_33317	subkingdom	norank_33213	norank_6072	kingdom	norank_999999001	norank_2559587	norank_999999005	norank_999999002	norank_999999003	norank_999999004	norank_33154	superkingdom	norank_131567	root
ncbi100226	100226	Streptomyces coelicolor A3(2)	100226	100226	100226	100226	100226	100226	100226	100226	100226	100226	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1902	1477431	1477431	1477431	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	1883	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	2062	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	85011	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	1760	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	201174	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	2	131567	1
ncbi10090	10090	Mus musculus	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	10090	862507	10088	10088	10088	10088	10088	10088	10088	10088	39107	39107	39107	10066	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	1963758	1963758	9989	9989	9989	9989	314147	314147	314147	314146	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	9347	9347	9347	9347	9347	9347	9347	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32524	32524	32524	32524	32523	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	33511	33511	33511	33511	33511	33511	33511	33213	6072	33208	999999001	999999001	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi10116	10116	Rattus norvegicus	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10116	10114	10114	10114	10114	10114	10114	10114	10114	39107	39107	39107	10066	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	337687	1963758	1963758	9989	9989	9989	9989	314147	314147	314147	314146	314146	314146	314146	314146	1437010	1437010	1437010	1437010	9347	9347	9347	9347	9347	9347	9347	9347	9347	9347	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32524	32524	32524	32524	32523	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	33511	33511	33511	33511	33511	33511	33511	33213	6072	33208	999999001	999999001	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi1111708	1111708	Synechocystis sp. PCC 6803 substr. Kazusa	1111708	1111708	1111708	1111708	1111708	1111708	1111708	1111708	1111708	1111708	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	1148	2640012	2640012	2640012	2640012	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1142	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890428	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1890424	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1117	1798711	1798711	1798711	1798711	1798711	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	2	131567	1
ncbi122586	122586	Neisseria meningitidis MC58	122586	491	491	491	491	491	491	491	491	491	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	487	482	482	482	482	482	482	482	482	482	482	482	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	481	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	206351	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	28216	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	2	131567	1
ncbi123851	123851	Ladona fulva	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	123851	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	70376	6964	6964	6964	70899	70899	70899	70899	70899	70899	70899	70899	70899	6962	6962	6962	6962	2510002	2510002	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	6961	33339	33339	33339	33339	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	197562	197563	197563	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	88770	88770	88770	1206794	33317	33317	33213	6072	33208	999999001	999999001	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi136037	136037	Zootermopsis nevadensis	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	136037	7502	7502	7502	7502	7502	7502	127821	127821	127820	127820	127820	7501	7501	1912919	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	1049657	85823	85823	85823	85823	85823	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	6970	33341	33341	33341	33340	33340	33340	33340	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	197562	197563	197563	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	88770	88770	88770	1206794	33317	33317	33213	6072	33208	999999001	999999001	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi13616	13616	Monodelphis domestica	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13616	13615	13615	13615	13615	13615	13615	13615	13615	126287	126287	126287	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	9265	38605	38605	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	9263	32525	32525	32525	32525	32525	32525	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	40674	32524	32524	32524	32524	32524	32523	1338369	8287	117571	117570	7776	7742	89593	89593	89593	89593	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	7711	33511	33511	33511	33511	33511	33511	33511	33213	6072	33208	999999001	999999001	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi164328	164328	Phytophthora ramorum	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	164328	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4783	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4777	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4776	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	4762	33634	33634	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2698737	2759	131567	1
ncbi1841598	1841598	Candidatus Heimdallarchaeota archaeon LC_3	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1841598	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1936272	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	1935183	2157	131567	1
ncbi184922	184922	Giardia lamblia ATCC 50803	184922	184922	184922	184922	184922	184922	184922	184922	184922	184922	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5741	5740	5740	5740	5740	5740	5740	5740	5740	68459	68459	68459	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5739	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	5738	207245	207245	207245	207245	207245	207245	207245	207245	207245	207245	207245	207245	207245	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2611341	2759	131567	1
ncbi188937	188937	Methanosarcina acetivorans C2A	188937	188937	188937	188937	188937	188937	188937	188937	188937	188937	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2214	2207	2207	2207	2207	2207	2207	2207	2207	2207	2207	2207	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	2206	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	94695	224756	224756	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	2290931	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	28890	2157	131567	1
ncbi189518	189518	Leptospira interrogans serovar Lai str. 56601	189518	189518	57678	57678	57678	57678	57678	57678	57678	57678	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	173	171	171	171	171	171	171	171	171	171	171	171	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	170	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	1643688	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203692	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	203691	2	131567	1
ncbi190304	190304	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	190304	190304	190304	190304	190304	190304	190304	190304	190304	76856	851	851	851	851	851	851	851	851	851	851	851	851	851	851	851	851	851	851	851	848	848	848	848	848	848	848	848	848	848	848	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203492	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203491	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	203490	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	32066	2	131567	1
ncbi208964	208964	Pseudomonas aeruginosa PAO1	208964	208964	208964	208964	208964	208964	208964	208964	208964	208964	287	287	287	287	287	287	287	287	287	287	287	287	287	287	287	287	136841	136841	136841	286	286	286	286	286	286	286	286	286	286	286	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	135621	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	72274	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1236	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	2	131567	1
ncbi214684	214684	Cryptococcus neoformans var. neoformans JEC21	214684	214684	214684	214684	214684	214684	214684	214684	40410	40410	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	5207	1897064	1897064	1897064	5206	5206	5206	5206	5206	5206	5206	5206	5206	5206	5206	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	1884633	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	5234	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	155616	5302	5302	5302	5302	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	451864	451864	451864	4751	4751	4751	999999005	999999005	999999005	999999005	33154	2759	131567	1
ncbi224129	224129	Agrilus planipennis	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	224129	195164	195164	195164	195164	195164	195164	195164	195164	261156	261156	261156	50527	50527	50527	71192	71192	71192	71192	71192	71192	71192	71192	71192	41087	41087	41087	41087	41084	41084	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	7041	33392	33392	33392	33340	33340	33340	33340	7496	7496	85512	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	50557	6960	197562	197563	197563	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	6656	88770	88770	88770	1206794	33317	33317	33213	6072	33208	999999001	999999001	999999001	999999002	999999003	999999004	33154	2759	131567	1
ncbi224308	224308	Bacillus subtilis subsp. subtilis str. 168	224308	224308	224308	224308	224308	224308	224308	224308	224308	135461	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	1423	653685	653685	653685	1386	1386	1386	1386	1386	1386	1386	1386	1386	1386	1386	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	186817	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	1385	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	91061	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1239	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	2	131567	1
ncbi224324	224324	Aquifex aeolicus VF5	224324	224324	224324	224324	224324	224324	224324	224324	224324	224324	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	63363	2713	2713	2713	2713	2713	2713	2713	2713	2713	2713	2713	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	64898	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	32069	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	187857	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	200783	2	131567	1
ncbi224911	224911	Bradyrhizobium diazoefficiens USDA 110	224911	224911	224911	224911	224911	224911	224911	224911	224911	224911	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	1355477	374	374	374	374	374	374	374	374	374	374	374	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	41294	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	356	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	28211	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	1224	2	131567	1
ncbi226186	226186	Bacteroides thetaiotaomicron VPI-5482	226186	226186	226186	226186	226186	226186	226186	226186	226186	226186	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	818	816	816	816	816	816	816	816	816	816	816	816	815	815	815	815	815	815	815	815	815	815	815	815	815	815	815	815	815	815	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	171549	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	200643	976	976	976	976	976	976	976	976	976	976	976	976	976	976	976	68336	68336	68336	68336	68336	1783270	1783270	1783270	1783270	1783270	1783270	1783270	1783270	1783270	1783270	1783270	1783270	1783270	1783270	2	131567	1
ncbi237561	237561	Candida albicans SC5314	237561	237561	237561	237561	237561	237561	237561	237561	237561	237561	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	5476	1535326	1535326	1535326	1535325	1535325	1535325	1535325	1535325	1535325	1535325	1535325	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	766764	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4892	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	4891	147537	147537	147537	716545	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	4890	451864	451864	451864	4751	4751	4751	999999005	999999005	999999005	999999005	33154	2759	131567	1
ncbi237631	237631	Ustilago maydis 521	237631	237631	237631	237631	237631	237631	237631	237631	237631	237631	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5270	5269	5269	5269	5269	5269	5269	5269	5269	5269	5269	5269	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5268	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5267	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	5257	452284	452284	452284	452284	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	5204	451864	451864	451864	4751	4751	4751	999999005	999999005	999999005	999999005	33154	2759	131567	1
ncbi243090	243090	Rhodopirellula baltica SH 1	243090	243090	243090	243090	243090	243090	243090	243090	243090	243090	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265606	265488	265488	265488	265488	265488	265488	265488	265488	265488	265488	265488	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691357	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	2691354	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203683	203682	203682	203682	203682	203682	203682	203682	203682	203682	203682	203682	203682	203682	203682	203682	203682	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	1783257	2	131567	1
ncbi243230	243230	Deinococcus radiodurans R1	243230	243230	243230	243230	243230	243230	243230	243230	243230	243230	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1299	1298	1298	1298	1298	1298	1298	1298	1298	1298	1298	1298	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	183710	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	118964	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	188787	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1297	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	1783272	2	131567	1
